Total products: 391
==================================================================================================================================
ID       Brand                     Category        Title                                                        Folder
==================================================================================================================================
10140    Mihara Yasuhiro           shoes           Mihara Yasuhiro Wayne High Sneakers                          prod_140
10131    Apple                     electronics     Apple AirPods Max (Space Gray)                               prod_131
10049    C.P. Company              jackets         CP Company Lens Soft Shell Jacket                            prod_49
10265    Polo Ralph Lauren         jackets         Polo Ralph Lauren Zip-Up Hoodie                              prod_265
10296    Prada                     shoes           Prada America's Cup Sneakers                                 prod_296
10073    Nike                      shoes           Nike Air Max 95 Classic Sneakers                             prod_73
10082    Nike                      accessories     Nike Cushion Crew Socks                                      prod_82
10345    Nike                      jackets         Nike Tech Fleece Hoodie                                      prod_345
10273    Fear of God               hoodies         Fear of God Essentials Pullover Hoodie Set                   prod_273
10276    Fear of God               pants           FOG Essentials Zip-Up Sweatpants                             prod_276
10099    Nike                      general         Nike Tech Fleece Suit                                        prod_99
10237    Nike                      accessories     Nike Hyperwarm Academy Football Gloves                       prod_237
10093    Rick Owens                pants           Rick Owens Drkshdw Ramones High                              prod_93
10322    Polo Ralph Lauren         general         Polo Ralph Lauren Cable-Knit Sweater                         prod_322
10014    Nike                      jerseys         Nike x Cactus Jack Barcelona Special Edition Jersey          prod_14
10320    Nike                      jackets         Nike Sportswear Fleece Suit                                  prod_320
10157    Moose Knuckles            general         Moose Knuckles Fur-Trimmed Puffer Jacket                     prod_157
10290    UGG                       general         UGG Tasman Slipper                                           prod_290
10174    Corteiz                   hoodies         Corteiz RTW All World Reservation Reflective Hoodie          prod_174
10254    Chanel                    shoes           Chanel Logo Sneakers                                         prod_254
10018    Nike                      hoodies         Nike Sportswear Tech Fleece Full-Zip Hoodie (FB8017)         prod_18
10031    Burberry                  pants           Burberry Check Swim Shorts                                   prod_31
10172    Nike                      bags            Nike Elite Basketball Backpack                               prod_172
10126    Gucci                     jackets         Gucci GG Supreme Messenger Bag                               prod_126
10206    Burberry                  jackets         Burberry Check Windbreaker Jacket                            prod_206
10298    Nike                      jerseys         Nike Barcelona Retro 2004-05 Home Jersey                     prod_298
10256    Balenciaga                tshirts         Balenciaga BB Logo Oversized T-Shirt Collection              prod_256
10334    Fear of God               pants           Fear of God Essentials T-Shirt & Shorts Set                  prod_334
10375    Nike                      pants           Nike Dri-FIT Strike Training Suit                            prod_375
10089    Nike                      shoes           Nike SB Dunk Low 'Panda'                                     prod_89
10275    Defcropped                hoodies         Defcropped Yoga Zip-up Jacket                                prod_275
10123    Adidas                    shoes           Adidas Yeezy Slide 'Onyx'                                    prod_123
10020    Golden Goose              shoes           Golden Goose Super-Star Sneakers                             prod_20
10042    Christian Louboutin       shoes           Christian Louboutin Louis Orlato Spiked Sneakers             prod_42
10027    Apple                     general         Apple AirPods Pro (2nd Generation) with USB-C                prod_27
10036    Corteiz                   hoodies         Classic Cotton Zip-Up Hoodie                                 prod_36
10019    Multi-Club                jerseys         Multi-Club Football Jersey Collection (2022-25)              prod_19
10182    Acne Studios              accessories     Acne Studios Large Plaid Mohair Scarf                        prod_182
10135    Mixed Luxury              general         Designer Knitwear Collection (Dior/LV/Celine)                prod_135
